labno,unitno,serialno,compartid,compart,last_interpret_date,sampledate,processdate,oiladded,oilhours,actual_fluid_hours,meterread,oilchanged,filterchanged,evalcode,dateReported,Confirmed,Problem Solved,Action Taken,Si,Al,Cr,Fe,Pb,Cu,Sn,Ni,Na,K,Mo,Zn,Mg,Ca,P,B,ST,OXI,NIT,SUL,V100,TBN,W,FP,GF,PQ,W(PCT),PC06,PC14,ISO.6,ISO.14,Visual,Replaced,Life,RUL,Magnetic Plug,Magnetic Plug Rate,oilchanged rate
B19A020611,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,02-Jan-19,30-Dec-18,02-Jan-19,0,557,557,83145,FALSE,,B,02-Jan-19,FALSE,FALSE,FALSE,7,1,0,4,1,1,0,0,2,1,3,1313,17,3496,1174,4,,,,,23.82,,N,,,0,,11078,338,21,16,-,0,6773,9227,A,1,0
B18L110734,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,11-Dec-18,08-Dec-18,10-Dec-18,0,233,233,82821,FALSE,,B,12-Dec-18,FALSE,FALSE,FALSE,4,1,0,4,0,0,0,0,2,1,2,1180,12,2774,1109,2,,,,,24.99,,N,,,0,,5581,328,20,16,-,0,6449,9551,B,2,0
B18K233235,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,24-Nov-18,19-Nov-18,21-Nov-18,0,965,965,82588,TRUE,,B,24-Nov-18,FALSE,FALSE,FALSE,5,1,0,5,0,1,0,0,3,1,2,1083,10,2803,992,1,,,,,24.23,,N,,,6,,9568,261,20,15,-,0,6216,9784,B,2,1
B18K070203,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,07-Nov-18,03-Nov-18,05-Nov-18,0,725,725,82348,FALSE,,B,07-Nov-18,FALSE,FALSE,FALSE,5,2,0,6,0,1,0,0,0,2,2,1226,12,3281,1185,1,,,,,24.83,,N,,,3,,11021,376,21,16,-,0,5976,10024,A,1,0
B18J160106,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,16-Oct-18,12-Oct-18,15-Oct-18,0,493,493,82116,FALSE,,B,16-Oct-18,FALSE,FALSE,FALSE,5,1,0,4,0,0,0,0,2,1,2,1233,10,3242,1211,0,,,,,24.92,,N,,,0,,7504,246,20,15,-,0,5744,10256,B,2,0
B18J011028,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,01-Oct-18,28-Sep-18,01-Oct-18,0,271,271,81894,FALSE,,B,01-Oct-18,FALSE,FALSE,FALSE,4,1,0,3,0,0,0,0,0,0,1,971,9,2467,891,0,,,,,24.75,,N,,,0,,6438,272,20,15,-,0,5522,10478,B,2,0
B18I133033,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,14-Sep-18,11-Sep-18,13-Sep-18,0,1051,1051,81623,TRUE,,B,14-Sep-18,FALSE,FALSE,FALSE,2,1,0,8,1,1,0,0,1,0,0,1048,11,2792,994,1,,,,,24.14,,N,,,5,,15334,465,21,16,-,0,5251,10749,A,1,1
B18H303821,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,31-Aug-18,28-Aug-18,30-Aug-18,0,809,809,81381,FALSE,,B,31-Aug-18,FALSE,FALSE,FALSE,3,2,0,8,1,1,0,0,0,0,0,1214,12,3365,1114,2,,,,,25.12,,N,,,6,,14874,638,21,16,-,0,5009,10991,B,2,0
B18H031822,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,03-Aug-18,02-Aug-18,03-Aug-18,0,512,512,81084,FALSE,,B,09-Aug-18,FALSE,FALSE,FALSE,3,1,0,6,0,0,0,0,1,1,2,947,9,2348,883,1,,,,,24.85,,N,,,2,,13014,552,21,16,-,0,4712,11288,A,1,0
B18G141536,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,14-Jul-18,12-Jul-18,14-Jul-18,0,263,263,80835,FALSE,,B,14-Jul-18,FALSE,FALSE,FALSE,5,1,0,6,1,0,0,0,0,1,0,1131,12,3004,1092,0,,,,,24.7,,N,,,4,,9710,502,20,16,-,0,4463,11537,A,1,0
B18F192937,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,20-Jun-18,18-Jun-18,19-Jun-18,0,1012,1012,80572,TRUE,,B,20-Jun-18,FALSE,FALSE,FALSE,5,1,0,17,0,1,0,0,0,1,2,1088,8,2739,984,0,,,,,23.32,,N,,,11,,20274,492,22,16,-,0,4200,11800,A,1,1
B18E293636,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,30-May-18,26-May-18,29-May-18,0,718,718,80278,FALSE,,B,30-May-18,FALSE,FALSE,FALSE,8,2,0,20,0,2,0,0,0,0,0,1129,9,3049,1049,1,,,,,24.31,,N,,,14,,28495,661,22,17,-,0,3906,12094,A,1,0
B18E150115,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,15-May-18,12-May-18,14-May-18,0,491,491,80051,FALSE,,B,15-May-18,FALSE,FALSE,FALSE,7,1,0,17,1,1,0,1,0,1,2,1181,9,2824,1104,0,,,,,23.57,,N,,,18,,19166,474,21,16,-,0,3679,12321,A,1,0
B18D180109,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,18-Apr-18,17-Apr-18,18-Apr-18,0,226,226,79786,FALSE,,B,23-Apr-18,FALSE,FALSE,FALSE,5,2,0,19,0,1,0,0,1,1,1,1112,12,3387,1151,1,,,,,24.08,,N,,,8,,8971,167,20,15,-,0,3414,12586,A,1,0
B18C282222,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,28-Mar-18,27-Mar-18,28-Mar-18,0,1045,1045,79560,TRUE,,B,29-Mar-18,FALSE,FALSE,FALSE,5,2,0,63,1,3,0,1,1,1,3,1023,9,2609,957,0,,,,,24.2,,N,,,53,,43439,653,23,17,-,0,3188,12812,C,3,1
B18B211035,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,21-Feb-18,20-Feb-18,21-Feb-18,0,754,754,79269,FALSE,,B,21-Feb-18,FALSE,FALSE,FALSE,9,3,0,69,0,2,0,0,0,1,3,1131,10,2953,1086,0,,,,,24.84,,N,,,50,,43636,752,23,17,-,0,2897,13103,B,2,0
B18A302004,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,31-Jan-18,29-Jan-18,30-Jan-18,0,513,513,79028,FALSE,,B,31-Jan-18,FALSE,FALSE,FALSE,7,1,0,51,1,2,0,0,1,2,4,1139,9,2901,1030,0,,,,,24.82,,N,,,47,,44799,991,23,17,-,0,2656,13344,B,2,0
B18A110721,HD1101,AGC00492,4008.LR,Final Drive-Lt Rea,11-Jan-18,09-Jan-18,11-Jan-18,0,232,232,78747,FALSE,,B,12-Jan-18,FALSE,FALSE,FALSE,8,3,0,46,1,2,0,0,1,1,3,1061,11,2937,1022,0,,,,,24.59,,N,,,42,,42643,1146,23,17,-,0,2375,13625,B,2,0
